year,rank,ticker,company_name,weight,methodology,formula,rank_12_anchor_weight,underlying_value_usd,anchor_value_usd,source_citation
1994,1,GE,General Electric Company,0.0270,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,2,T,AT&T Inc.,0.0240,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,3,XOM,Exxon Mobil Corporation,0.0230,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,4,KO,The Coca-Cola Company,0.0200,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,5,MRK,Merck & Co. Inc.,0.0180,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,6,PG,Procter & Gamble Co.,0.0170,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,7,MO,Altria Group Inc.,0.0160,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,8,WMT,Walmart Inc.,0.0150,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,9,IBM,International Business Machines Corp.,0.0140,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,10,MSFT,Microsoft Corporation,0.0130,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,11,INTC,Intel Corporation,0.0120,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,12,PFE,Pfizer Inc.,0.0110,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1994
1994,13,JNJ,Johnson & Johnson,0.0104,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$39.71B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,14,CVX,Chevron Corporation,0.0100,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$38.18B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,15,PEP,PepsiCo Inc.,0.0094,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$35.89B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,16,BMY,Bristol-Myers Squibb Company,0.0090,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$34.36B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,17,AIG,American International Group Inc.,0.0085,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$32.45B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,18,DIS,The Walt Disney Company,0.0081,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$30.93B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,19,VZ,Verizon Communications Inc.,0.0080,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$30.55B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1994,20,HD,The Home Depot Inc.,0.0078,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$29.78B,$42.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1994
1995,1,GE,General Electric Company,0.0290,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,2,T,AT&T Inc.,0.0250,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,3,XOM,Exxon Mobil Corporation,0.0240,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,4,KO,The Coca-Cola Company,0.0220,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,5,MRK,Merck & Co. Inc.,0.0200,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,6,MO,Altria Group Inc.,0.0180,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,7,PG,Procter & Gamble Co.,0.0170,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,8,MSFT,Microsoft Corporation,0.0150,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,9,WMT,Walmart Inc.,0.0140,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,10,INTC,Intel Corporation,0.0130,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,11,JNJ,Johnson & Johnson,0.0120,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,12,PFE,Pfizer Inc.,0.0110,Official Factsheet Anchor,W_factsheet,0.0110,,,S&P Dow Jones Indices Year-End Factsheet 1995
1995,13,IBM,International Business Machines Corp.,0.0101,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$47.75B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,14,PEP,PepsiCo Inc.,0.0097,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$45.85B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,15,BMY,Bristol-Myers Squibb Company,0.0091,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$43.02B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,16,AIG,American International Group Inc.,0.0090,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$42.55B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,17,CVX,Chevron Corporation,0.0084,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$39.71B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,18,FNMA,Federal National Mortgage Association,0.0083,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$39.24B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
1995,19,MCD,McDonald's Corporation,0.0082,Empirical Capitalization Ratio,"round(W_12 * Cap_i / Cap_12, 4)",0.0110,$38.76B,$52.00B,SEC Form 10-K & Point-in-Time Capitalization Archives 1995
