strategy_name,n,year,ticker,action,shares,price,realized_gain
Top_3_MarketCap,3,2014,AAPL,BUY,143.6739,27.59,0.0
Top_3_MarketCap,3,2014,XOM,BUY,35.0811,92.45,0.0
Top_3_MarketCap,3,2014,MSFT,BUY,60.1247,46.45,0.0
Top_3_MarketCap,3,2015,MSFT,SELL,2.5165,55.48,22.72
Top_3_MarketCap,3,2015,MSFT,SELL,0.0399,55.48,0.36
Top_3_MarketCap,3,2015,MSFT,SELL,0.0006,55.48,0.01
Top_3_MarketCap,3,2015,AAPL,BUY,4.5267,26.34,0.0
Top_3_MarketCap,3,2015,XOM,BUY,0.2014,77.95,0.0
Top_3_MarketCap,3,2016,XOM,SELL,35.2824,90.26,-74.35
Top_3_MarketCap,3,2016,MSFT,SELL,0.6876,62.14,10.79
Top_3_MarketCap,3,2016,AAPL,BUY,6.5819,27.91,0.0
Top_3_MarketCap,3,2016,AMZN,BUY,81.2066,37.48,0.0
Top_3_MarketCap,3,2017,AAPL,SELL,2.6126,42.31,38.46
Top_3_MarketCap,3,2017,AMZN,SELL,4.9058,59.45,107.78
Top_3_MarketCap,3,2017,AAPL,SELL,0.2324,42.31,3.42
Top_3_MarketCap,3,2017,AMZN,SELL,0.1165,59.45,2.56
Top_3_MarketCap,3,2017,AAPL,SELL,0.0168,42.31,0.25
Top_3_MarketCap,3,2017,AMZN,SELL,0.0084,59.45,0.19
Top_3_MarketCap,3,2017,AAPL,SELL,0.0012,42.31,0.02
Top_3_MarketCap,3,2017,AMZN,SELL,0.0006,59.45,0.01
Top_3_MarketCap,3,2017,MSFT,BUY,4.6003,85.54,0.0
Top_3_MarketCap,3,2018,AAPL,SELL,1.6873,39.44,19.99
Top_3_MarketCap,3,2018,AMZN,SELL,2.1434,75.11,80.65
Top_3_MarketCap,3,2018,AAPL,SELL,0.2526,39.44,2.99
Top_3_MarketCap,3,2018,AMZN,SELL,0.1245,75.11,4.68
Top_3_MarketCap,3,2018,AAPL,SELL,0.0193,39.44,0.23
Top_3_MarketCap,3,2018,AMZN,SELL,0.0095,75.11,0.36
Top_3_MarketCap,3,2018,AAPL,SELL,0.0015,39.44,0.02
Top_3_MarketCap,3,2018,AMZN,SELL,0.0007,75.11,0.03
Top_3_MarketCap,3,2018,AAPL,SELL,0.0001,39.44,0.0
Top_3_MarketCap,3,2018,MSFT,BUY,2.1242,101.57,0.0
Top_3_MarketCap,3,2019,AAPL,SELL,12.2388,73.41,560.78
Top_3_MarketCap,3,2019,MSFT,SELL,4.913,157.7,546.57
Top_3_MarketCap,3,2019,AAPL,SELL,1.631,73.41,74.73
Top_3_MarketCap,3,2019,MSFT,SELL,0.6951,157.7,77.33
Top_3_MarketCap,3,2019,AAPL,SELL,0.224,73.41,10.26
Top_3_MarketCap,3,2019,MSFT,SELL,0.0954,157.7,10.62
Top_3_MarketCap,3,2019,AAPL,SELL,0.0308,73.41,1.41
Top_3_MarketCap,3,2019,MSFT,SELL,0.0131,157.7,1.46
Top_3_MarketCap,3,2019,AAPL,SELL,0.0042,73.41,0.19
Top_3_MarketCap,3,2019,MSFT,SELL,0.0018,157.7,0.2
Top_3_MarketCap,3,2019,AAPL,SELL,0.0006,73.41,0.03
Top_3_MarketCap,3,2019,MSFT,SELL,0.0002,157.7,0.03
Top_3_MarketCap,3,2019,AMZN,BUY,16.375,94.9,0.0
Top_3_MarketCap,3,2020,AAPL,SELL,11.9757,132.69,1258.65
Top_3_MarketCap,3,2020,AMZN,SELL,3.5697,162.85,447.54
Top_3_MarketCap,3,2020,AAPL,SELL,1.3903,132.69,146.12
Top_3_MarketCap,3,2020,AMZN,SELL,0.9732,162.85,122.02
Top_3_MarketCap,3,2020,AAPL,SELL,0.2185,132.69,22.96
Top_3_MarketCap,3,2020,AMZN,SELL,0.1529,162.85,19.18
Top_3_MarketCap,3,2020,AAPL,SELL,0.0343,132.69,3.61
Top_3_MarketCap,3,2020,AMZN,SELL,0.024,162.85,3.01
Top_3_MarketCap,3,2020,AAPL,SELL,0.0054,132.69,0.57
Top_3_MarketCap,3,2020,AMZN,SELL,0.0038,162.85,0.47
Top_3_MarketCap,3,2020,AAPL,SELL,0.0008,132.69,0.09
Top_3_MarketCap,3,2020,AMZN,SELL,0.0006,162.85,0.07
Top_3_MarketCap,3,2020,AAPL,SELL,0.0001,132.69,0.01
Top_3_MarketCap,3,2020,AMZN,SELL,0.0001,162.85,0.01
Top_3_MarketCap,3,2020,MSFT,BUY,8.8571,222.42,0.0
Top_3_MarketCap,3,2021,AAPL,SELL,3.6796,173.45,536.7
Top_3_MarketCap,3,2021,MSFT,SELL,8.5409,323.37,2365.15
Top_3_MarketCap,3,2021,AMZN,SELL,85.5477,166.72,10115.94
Top_3_MarketCap,3,2021,AAPL,SELL,8.1148,173.45,1183.62
Top_3_MarketCap,3,2021,MSFT,SELL,3.9848,323.37,1103.47
Top_3_MarketCap,3,2021,AAPL,SELL,1.4257,173.45,207.95
Top_3_MarketCap,3,2021,MSFT,SELL,0.7001,323.37,193.87
Top_3_MarketCap,3,2021,AAPL,SELL,0.2505,173.45,36.53
